OrderID,Date,Category,SubCategory,ProductName,Region,UnitsSold,UnitPrice,UnitCost,InventoryDays,Season
187498,2024-03-28,Toys,Board Games,Board Games Product 373,East,7,199.77,166.59,131,Summer
891743,2024-10-03,Toys,Puzzles,Puzzles Product 161,South,12,40.17,35.79,167,Spring
249503,2024-07-06,Toys,Action Figures,Action Figures Product 976,East,17,534.26,389.79,68,Spring
356840,2024-06-15,Home & Kitchen,Decor,Decor Product 274,East,5,983.57,727.87,60,Winter
748531,2024-04-01,Toys,Board Games,Board Games Product 367,North,9,966.32,814.14,99,Spring
824839,2024-01-02,Toys,Puzzles,Puzzles Product 390,West,3,617.8,525.1,90,Spring
723587,2024-09-26,Clothing,Women,Women Product 863,South,12,50.69,43.22,171,Spring
448951,2024-08-04,Toys,Board Games,Board Games Product 764,East,13,961.95,820.89,91,Winter
220151,2024-05-08,Toys,Board Games,Board Games Product 648,East,1,158.11,132.92,98,Winter
388998,2024-02-10,Home & Kitchen,Decor,Decor Product 28,North,1,712.72,583.51,132,Spring
373109,2024-02-04,Electronics,Laptops,Laptops Product 961,West,5,113.5,80.73,108,Fall
219176,2024-07-25,Home & Kitchen,Furniture,Furniture Product 15,East,5,972.28,830.98,151,Summer
974371,2024-08-09,Clothing,Women,Women Product 485,North,7,450.55,297.6,61,Fall
515515,2024-03-06,Sports,Indoor Games,Indoor Games Product 682,East,7,760.44,508.46,196,Spring
252906,2024-05-07,Sports,Outdoor,Outdoor Product 506,West,12,640.74,551.96,53,Spring
121959,2024-05-16,Toys,Board Games,Board Games Product 318,East,13,331.64,209.93,12,Spring
693128,2024-06-28,Sports,Fitness,Fitness Product 113,South,15,137.47,96.41,68,Fall
840976,2024-03-21,Electronics,Laptops,Laptops Product 699,North,2,963.2,650.68,140,Winter
613153,2024-02-22,Electronics,Laptops,Laptops Product 684,East,5,512.63,315.49,138,Spring
911774,2024-10-20,Clothing,Women,Women Product 280,East,11,257.21,206.19,193,Winter
710490,2024-11-21,Sports,Outdoor,Outdoor Product 464,North,16,640.86,487.52,153,Winter
862002,2024-05-27,Sports,Indoor Games,Indoor Games Product 864,East,19,599.08,481.22,99,Summer
108155,2024-05-30,Toys,Board Games,Board Games Product 415,North,18,697.12,499.15,113,Summer
786976,2024-10-30,Clothing,Kids,Kids Product 254,North,16,243.98,159.19,69,Spring
690978,2024-05-31,Toys,Board Games,Board Games Product 54,East,9,902.41,712.84,108,Fall
757917,2024-04-08,Electronics,Cameras,Cameras Product 153,South,8,936.92,782.89,93,Summer
190272,2024-03-08,Sports,Outdoor,Outdoor Product 801,North,3,177.59,135.79,198,Fall
381974,2024-01-22,Sports,Indoor Games,Indoor Games Product 750,East,16,726.52,503.06,196,Spring
469599,2024-11-12,Sports,Indoor Games,Indoor Games Product 816,South,2,894.21,705.84,30,Winter
398356,2024-01-06,Home & Kitchen,Decor,Decor Product 99,North,12,773.18,474.02,167,Spring
559451,2024-04-25,Toys,Board Games,Board Games Product 191,East,14,954.01,667.07,190,Summer
788105,2024-08-10,Sports,Fitness,Fitness Product 566,South,3,207.09,140.93,137,Winter
156958,2024-06-03,Clothing,Kids,Kids Product 490,East,15,578.66,364.07,95,Spring
630089,2024-09-03,Clothing,Women,Women Product 538,East,11,745.95,603.55,185,Winter
882355,2024-11-16,Home & Kitchen,Cookware,Cookware Product 776,West,7,869.73,760.12,66,Winter
330229,2024-02-20,Toys,Puzzles,Puzzles Product 665,East,2,351.24,250.32,41,Summer
284078,2024-02-23,Clothing,Kids,Kids Product 444,South,17,982.2,836.52,189,Spring
821772,2024-12-15,Sports,Fitness,Fitness Product 47,East,12,831.31,566.51,14,Fall
322866,2024-05-24,Home & Kitchen,Decor,Decor Product 120,South,18,155.59,99.55,133,Spring
953049,2024-05-01,Home & Kitchen,Cookware,Cookware Product 513,North,9,96.89,58.87,149,Winter
506716,2024-07-10,Clothing,Women,Women Product 447,North,13,112.0,73.34,126,Fall
455612,2024-08-07,Sports,Outdoor,Outdoor Product 69,North,16,735.44,451.79,188,Spring
790607,2024-12-06,Electronics,Laptops,Laptops Product 551,South,12,858.35,696.21,153,Spring
750419,2024-08-10,Toys,Board Games,Board Games Product 906,West,10,475.38,377.89,78,Spring
288751,2024-09-03,Clothing,Kids,Kids Product 258,West,5,513.07,439.67,13,Fall
