OrderID,Date,Category,SubCategory,ProductName,Region,UnitsSold,UnitPrice,UnitCost,InventoryDays,Season,Profit
891743,2024-10-03,Toys,Puzzles,Puzzles Product 161,South,12,40.17,35.79,167,Spring,52.56000000000003
723587,2024-09-26,Clothing,Women,Women Product 863,South,12,50.69,43.22,171,Spring,89.63999999999999
219176,2024-07-25,Home & Kitchen,Furniture,Furniture Product 15,East,5,972.28,830.98,151,Summer,706.4999999999998
515515,2024-03-06,Sports,Indoor Games,Indoor Games Product 682,East,7,760.44,508.46,196,Spring,1763.8600000000006
911774,2024-10-20,Clothing,Women,Women Product 280,East,11,257.21,206.19,193,Winter,561.2199999999998
710490,2024-11-21,Sports,Outdoor,Outdoor Product 464,North,16,640.86,487.52,153,Winter,2453.4400000000005
190272,2024-03-08,Sports,Outdoor,Outdoor Product 801,North,3,177.59,135.79,198,Fall,125.40000000000003
381974,2024-01-22,Sports,Indoor Games,Indoor Games Product 750,East,16,726.52,503.06,196,Spring,3575.3599999999997
398356,2024-01-06,Home & Kitchen,Decor,Decor Product 99,North,12,773.18,474.02,167,Spring,3589.9199999999996
559451,2024-04-25,Toys,Board Games,Board Games Product 191,East,14,954.01,667.07,190,Summer,4017.159999999999
630089,2024-09-03,Clothing,Women,Women Product 538,East,11,745.95,603.55,185,Winter,1566.400000000001
284078,2024-02-23,Clothing,Kids,Kids Product 444,South,17,982.2,836.52,189,Spring,2476.5600000000013
455612,2024-08-07,Sports,Outdoor,Outdoor Product 69,North,16,735.44,451.79,188,Spring,4538.400000000001
790607,2024-12-06,Electronics,Laptops,Laptops Product 551,South,12,858.35,696.21,153,Spring,1945.6799999999998
633636,2024-06-11,Electronics,Cameras,Cameras Product 215,East,7,109.38,81.85,151,Spring,192.71
601708,2024-12-13,Clothing,Women,Women Product 190,North,9,75.18,47.79,176,Summer,246.51000000000008
560857,2024-02-13,Electronics,Cameras,Cameras Product 685,North,1,488.16,305.04,175,Spring,183.12
375987,2024-02-16,Sports,Fitness,Fitness Product 233,East,11,336.23,206.12,173,Summer,1431.21
965291,2024-11-25,Electronics,Laptops,Laptops Product 736,East,3,308.6,277.35,153,Winter,93.75
395451,2024-08-07,Toys,Board Games,Board Games Product 869,West,8,291.83,191.57,195,Spring,802.0799999999999
222402,2024-09-09,Electronics,Cameras,Cameras Product 390,North,1,704.2,535.78,166,Spring,168.42000000000007
385977,2024-03-03,Sports,Indoor Games,Indoor Games Product 217,East,18,423.03,352.5,186,Winter,1269.5399999999995
300244,2024-06-13,Toys,Board Games,Board Games Product 714,East,3,543.66,448.5,190,Winter,285.4799999999999
718362,2024-11-01,Toys,Puzzles,Puzzles Product 268,South,2,131.29,105.23,191,Summer,52.119999999999976
314879,2024-07-13,Home & Kitchen,Cookware,Cookware Product 667,North,4,703.71,460.24,193,Summer,973.8800000000001
903692,2024-08-16,Electronics,Cameras,Cameras Product 377,West,2,391.2,274.32,196,Summer,233.76
